"Water Control Zone","Station","Sampling Date (MM/YYYY)","Dissolved Oxygen (mg/L)","5-day Biochemical Oxygen Demand (mg/L)"
"Port Shelter","PM7","07/2025","4.4","1.4"
"Port Shelter","PM7","08/2025","2.9","0.5"
"Port Shelter","PM7","09/2025","5.9","0.5"
"Port Shelter","PM7","10/2025","5.3","0.5"
"Southern","SM6","11/2023","6.9","1.2"
"Southern","SM6","12/2023","7.8","1.2"
"Southern","SM6","01/2024","6.8","0.5"
"Southern","SM6","02/2024","7.6","0.9"
"Southern","SM6","03/2024","7.1","0.8"
"Southern","SM6","04/2024","5.6","0.3"
"Southern","SM6","05/2024","5.6","<0.1"
"Southern","SM6","06/2024","4.8","<0.1"
"Southern","SM6","07/2024","7.2","1.7"
"Southern","SM6","08/2024","4.6","1.2"
"Southern","SM6","09/2024","4.7","0.5"
"Southern","SM6","10/2024","4.8","0.1"
"Southern","SM6","11/2024","5.4","0.5"
"Southern","SM6","12/2024","7.9","1.4"
"Southern","SM6","01/2025","7.7","0.2"
"Southern","SM6","02/2025","7.4","0.3"
"Southern","SM6","03/2025","11.2","0.5"
"Southern","SM6","04/2025","11","0.5"
"Southern","SM6","05/2025","6.1","0.8"
"Southern","SM6","06/2025","5.5","0.4"
"Southern","SM6","07/2025","5.6","0.4"
"Southern","SM6","08/2025","4.1","2.1"
"Southern","SM6","09/2025","7.1","0.9"
"Southern","SM6","10/2025","4.9","1.1"
"Tolo Harbour and Channel","TM3","11/2023","7.5","2.1"
"Tolo Harbour and Channel","TM3","12/2023","6.9","2.4"
"Tolo Harbour and Channel","TM3","01/2024","7.8","1.6"
"Tolo Harbour and Channel","TM3","02/2024","6.8","1.9"
"Tolo Harbour and Channel","TM3","03/2024","8.9","1.2"
"Tolo Harbour and Channel","TM3","04/2024","6.6","1.3"
"Tolo Harbour and Channel","TM3","05/2024","5.7","2.1"
"Tolo Harbour and Channel","TM3","06/2024","6.4","2.5"
"Tolo Harbour and Channel","TM3","07/2024","6","1.5"
"Tolo Harbour and Channel","TM3","08/2024","5.8","1.1"
"Tolo Harbour and Channel","TM3","09/2024","5.9","1.6"
"Tolo Harbour and Channel","TM3","10/2024","5.6","0.6"
"Tolo Harbour and Channel","TM3","11/2024","6.3","1.1"
"Tolo Harbour and Channel","TM3","12/2024","7.2","2.1"
"Tolo Harbour and Channel","TM3","01/2025","8.8","0.8"
"Tolo Harbour and Channel","TM3","02/2025","8.3","1.6"
"Tolo Harbour and Channel","TM3","03/2025","7","0.6"
"Tolo Harbour and Channel","TM3","04/2025","9.7","3.7"
"Tolo Harbour and Channel","TM3","05/2025","8.1","2.8"
"Tolo Harbour and Channel","TM3","06/2025","6.4","2"
"Tolo Harbour and Channel","TM3","07/2025","5.7","2.4"
"Tolo Harbour and Channel","TM3","08/2025","4.5","0.7"
"Tolo Harbour and Channel","TM3","09/2025","7.2","1.5"
"Tolo Harbour and Channel","TM3","10/2025","5.9","2.1"
"Victoria Harbour","VM5","11/2023","7","0.8"
"Victoria Harbour","VM5","12/2023","9.7","0.3"
"Victoria Harbour","VM5","01/2024","6.2","0.7"
"Victoria Harbour","VM5","02/2024","5.9","0.9"
"Victoria Harbour","VM5","03/2024","7","0.3"
"Victoria Harbour","VM5","04/2024","6.3","0.7"
"Victoria Harbour","VM5","05/2024","7.7","<0.1"
"Victoria Harbour","VM5","06/2024","5.2","<0.1"
"Victoria Harbour","VM5","07/2024","6.3","1.1"
"Victoria Harbour","VM5","08/2024","4.7","1"
"Victoria Harbour","VM5","09/2024","4.7","0.4"
"Victoria Harbour","VM5","10/2024","5.3","0.3"
"Victoria Harbour","VM5","11/2024","4.9","0.7"
"Victoria Harbour","VM5","12/2024","5.7","0.2"
"Victoria Harbour","VM5","01/2025","5.8","0.9"
"Victoria Harbour","VM5","02/2025","7.3","0.2"
"Victoria Harbour","VM5","03/2025","6.3","<0.1"
"Victoria Harbour","VM5","04/2025","11.4","1.7"
"Victoria Harbour","VM5","05/2025","10.9","0.1"
"Victoria Harbour","VM5","06/2025","5.2","0.3"
"Victoria Harbour","VM5","07/2025","3.2","1.1"
"Victoria Harbour","VM5","08/2025","4.4","1"
"Victoria Harbour","VM5","09/2025","3.3","1.8"
"Victoria Harbour","VM5","10/2025","4.7","0.6"
"Western Buffer","WM2","11/2023","5.5","0.1"
"Western Buffer","WM2","12/2023","8.6","0.8"
"Western Buffer","WM2","01/2024","8.1","1"
"Western Buffer","WM2","02/2024","6.3","0.1"
"Western Buffer","WM2","03/2024","9.2","2.4"
"Western Buffer","WM2","04/2024","7.6","1.5"
"Western Buffer","WM2","05/2024","6.3","0.1"
"Western Buffer","WM2","06/2024","4.9","0.4"
"Western Buffer","WM2","07/2024","8.4","1"
"Western Buffer","WM2","08/2024","3","0.6"
"Western Buffer","WM2","09/2024","4.4","1.1"
"Western Buffer","WM2","10/2024","4.9","<0.1"
"Western Buffer","WM2","11/2024","5","0.2"
"Western Buffer","WM2","12/2024","5.8","1.3"
"Western Buffer","WM2","01/2025","6.9","0.5"
"Western Buffer","WM2","02/2025","9.2","0.4"
"Western Buffer","WM2","03/2025","6.5","0.5"
"Western Buffer","WM2","04/2025","11.7","0.9"
"Western Buffer","WM2","05/2025","8.5","<0.1"
"Western Buffer","WM2","06/2025","5.1","0.6"
"Western Buffer","WM2","07/2025","4.4","1.5"
"Western Buffer","WM2","08/2025","3.6","1"
"Western Buffer","WM2","09/2025","3.4","0.2"
"Western Buffer","WM2","10/2025","5.1","0.3"
